Referencia;Nombre;Categoria;Descripcion
50;ACOPLE SANITARIO LARGO ECO;GRIFERIA;
51;ACOPLE SANITARIO LARGO PLAST GRIFOS;GRIFERIA;
52;"ACOPLE YEE DE ALUMINIO ENTRADA 3/4"" TRUPER";GRIFERIA;10372
53;"ACOPLE YEE PLASTICO ENTRADA 3/4"" PRETUL";GRIFERIA;20050
54;"ADAPTADOR HEMBRA CPVC 1/2""";TUBERIAS Y ACCESORIOS;10106
55;"ADAPTADOR HEMBRA DE COBRE 1/2""";TUBERIAS Y ACCESORIOS;75736
56;"ADAPTADOR HEMBRA PF UAD PAVCO 1/2""";TUBERIAS Y ACCESORIOS;10085
57;"ADAPTADOR HEMBRA PVC 1""";TUBERIAS Y ACCESORIOS;2058
58;"ADAPTADOR HEMBRA PVC 1/2""";TUBERIAS Y ACCESORIOS;2015
59;"ADAPTADOR HEMBRA PVC 11/2""";TUBERIAS Y ACCESORIOS;2074
60;"ADAPTADOR HEMBRA PVC 11/4""";TUBERIAS Y ACCESORIOS;2066
61;"ADAPTADOR HEMBRA PVC 2""";TUBERIAS Y ACCESORIOS;2082
62;"ADAPTADOR HEMBRA PVC 3/4""";TUBERIAS Y ACCESORIOS;2040
63;"ADAPTADOR MACHO 1/2""";TUBERIAS Y ACCESORIOS;2210
64;"ADAPTADOR MACHO CPVC 1/2""";TUBERIAS Y ACCESORIOS;10186
65;"ADAPTADOR MACHO DE COBRE 1/2""";TUBERIAS Y ACCESORIOS;75733
66;"ADAPTADOR MACHO PF UAD 1/2"" PAVCO";TUBERIAS Y ACCESORIOS;10263
67;"ADAPTADOR MACHO PVC 1""";TUBERIAS Y ACCESORIOS;2252
68;"ADAPTADOR MACHO PVC 11/2""";TUBERIAS Y ACCESORIOS;2279
69;"ADAPTADOR MACHO PVC 11/4""";TUBERIAS Y ACCESORIOS;2260
70;"ADAPTADOR MACHO PVC 2""";TUBERIAS Y ACCESORIOS;2287
71;"ADAPTADOR MACHO PVC 3/4""";TUBERIAS Y ACCESORIOS;2236
3311;ADAPTADOR RACHET 1/2 X 3/8;HERRAMIENTA MANUAL;13422
72;"ADAPTADOR RATCHET M 1/2"" X 3/4""";HERRAMIENTA MANUAL;13426
73;"ADAPTADOR RATCHET M 1/2"" X 3/8""";HERRAMIENTA MANUAL;13422
3359;ADAPTADOR SIFON BLANCO PLASGRIFOS;TUBERIAS Y ACCESORIOS;48430
75;AEROSOL WD 40 104 ML 3O ONZ;LUBRICANTES;43389
260;AEROSOL WD 40 191 ML 5.5 ONZ;LUBRICANTES;14033
81;AGITADOR DE PINTURA AZUL GOYA;PINTURAS Y DISOLVENTES;1492
76;AGUASTOP PLASTICO RIOPLAST;GRIFERIA;
3414;AGUASTOP VULCANIZADO ECO;PEGANTES;10013706
77;AGUASTOP VULCANIZADO RIOPLAST;GRIFERIA;10139
1314;AGUJA CAPOTERA;ABRASIVOS Y CONSUMIBLES;IMCN2
78;AGUJA DE COSER A MANO PAÃ¯Â¿Â½O;PARTES Y REPUESTOS;
79;AGUJA DE COSER A MANO UN;PARTES Y REPUESTOS;
80;AGUJA PARA INFLAR BALON;PARTES Y REPUESTOS;
3495;ALAMBRE N 10 COLORES 1MT PROCABLES;CONSTRUCCION;20%
86;ALAMBRE N 12 COLORES 1MT PROCABLES;ELECTRICOS;30%
3169;ALAMBRE N 12 DE COBRE DESNUDO;ELECTRICOS;
87;ALAMBRE N 14 COLORES 1MT PROCABLES;ELECTRICOS;8767
88;ALAMBRE N 14 DE COBRE DESNUDO 1MT;ELECTRICOS;
3399C;ALAMBRE GALVANIZADO C-14 CHIPA 5V;CONSTRUCCION;
3499;ALAMBRE GALVANIZADO C-14 KILO;CONSTRUCCION;
83C;ALAMBRE GALVANIZADO C-18 CHIPA 8V;CONSTRUCCION;687
83;ALAMBRE GALVANIZADO C-18 KILO;CONSTRUCCION;687
85V;ALAMBRE NEGRO C-18 CHIPA 8V;CONSTRUCCION;689
85;ALAMBRE NEGRO C-18 KILO;CONSTRUCCION;689
