Nombre;Referencia;Categoria;Descripcion
AMARRE PLASTICO BLANCO 4.8 X 30 cm FORTE  UN;3366;HERRAJES Y SOPORTES;16057
AMARRE PLASTICO BLANCO 4.8 X 25cm FORTE UN;4584;HERRAJES Y SOPORTES;16057
AMARRE PLASTICO BLANCO 4.8 X 37cmFORTE UN;3368;HERRAJES Y SOPORTES;16058
AMARRE PLASTICO BLANCO 7.6 X 40cm FORTE U;108;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 BLANCO 2.4 DOC;110D;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 BLANCO 2.4 PAQ X 100;111C;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 BLANCO 2.4 UN;111;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 NEGRO 2.5 DOC;114D;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 NEGRO 2.5 PAQ X 100;114P;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 10 NEGRO 2.5 UN;114;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 15 BLANCO 25 DOC;117D;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 15 BLANCO 25 PAQ X 100;117P;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 15 BLANCO 25 U;117;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 15 NEGRO 2.5 DOC;120D;HERRAJES Y SOPORTES;
AMARRE PLASTICO N 15 NEGRO 2.5 PAQ X 100;120P;HERRAJES Y SOPORTES;
