Tipo;"Item inventariable";"Item con variantes";"Venta en negativo";Nombre;"Codigo del producto o servicio";Referencia;"Unidad de medida";Categoria;Descripcion;"Costo inicial";"Precio base";Impuesto;"Precio total";"Precio: General";"Precio: Lista General 2023";"Codigo cuenta contable";"Cuenta contable";"Codigo cuenta de inventario";"Cuenta de inventario";"Codigo cuenta de costo de venta";"Cuenta de costo de venta";"Codigo de barras2";"codigo de barras 3";"Codigo de barras"
Producto;Si;No;Si;"PINTURA EN SPRAY ALTA TEMPERATURA AEROCOLOR";;3603;Unidad;"PINTURAS Y DISOLVENTES";;9800,000000;14706,000000;19.00;17500;14706,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305826
Producto;Si;No;Si;"PINTURA EN SPRAY GRIS ANTICORROSIVA AEROCOLOR";;74;Unidad;"PINTURAS Y DISOLVENTES";44030;9888,000000;14958,000000;19.00;17800;14958,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305827
Producto;Si;No;Si;"PINTURA EN SPRAY METALIZADO BRONCE PINTE";;1822;Unidad;"PINTURAS Y DISOLVENTES";15009;7220,000000;10924,000000;19.00;13000;10924,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707052624750
Producto;Si;No;Si;"PINTURA EN SPRAY NEGRO MATE 400ML PINTE";;1319;Unidad;"ABRASIVOS Y CONSUMIBLES";8843;5800,000000;8824,000000;19.00;10501;8824,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7707052605872
Producto;Si;No;Si;"PINTUTRAFICO AMARILLO 1 G PINTUCO";;1828;Unidad;"PINTURAS Y DISOLVENTES";10012970;107324,000000;127731,000000;19.00;152000;127731,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7704488003876
Producto;Si;No;Si;"PINTUTRAFICO AMARILLO 1/2 G PINTUCO";;1824;Unidad;"PINTURAS Y DISOLVENTES";10012970;49913,000000;68908,000000;19.00;82001;68908,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305828
Producto;Si;No;Si;"PINTUTRAFICO AMARILLO 1/32 G PINTUCO";;1825;Unidad;"PINTURAS Y DISOLVENTES";10012970;4057,000000;6303,000000;19.00;7501;6303,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305829
Producto;Si;No;Si;"PINTUTRAFICO AMARILLO 1/4 G PINTUCO";;1826;Unidad;"PINTURAS Y DISOLVENTES";10012970;25456,000000;36975,000000;19.00;44000;36975,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305830
Producto;Si;No;Si;"PINTUTRAFICO AMARILLO 1/8 G PINTUCO";;1827;Unidad;"PINTURAS Y DISOLVENTES";10012970;13228,000000;20168,000000;19.00;24000;20168,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305831
Producto;Si;No;Si;"PINTUTRAFICO BLANCO 1 GALON PINTUCO";;1833;Unidad;"PINTURAS Y DISOLVENTES";10012971;107200,000000;127731,000000;19.00;152000;127731,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7704488114466
Producto;Si;No;Si;"PINTUTRAFICO BLANCO 1/2 G PINTUCO";;1829;Unidad;"PINTURAS Y DISOLVENTES";10012971;49913,000000;68908,000000;19.00;82001;68908,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305832
Producto;Si;No;Si;"PINTUTRAFICO BLANCO 1/32 G PINTUCO";;1830;Unidad;"PINTURAS Y DISOLVENTES";10012971;4057,000000;6303,000000;19.00;7501;6303,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305833
Producto;Si;No;Si;"PINTUTRAFICO BLANCO 1/4 G PINTUCO";;1831;Unidad;"PINTURAS Y DISOLVENTES";10012971;25456,000000;36975,000000;19.00;44000;36975,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305834
Producto;Si;No;Si;"PINTUTRAFICO BLANCO 1/8 G PINTUCO";;1832;Unidad;"PINTURAS Y DISOLVENTES";10012971;13228,000000;20168,000000;19.00;24000;20168,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305835
Producto;Si;No;Si;"PINZAS PARA TIERRA 300 A PRETUL";;1834;Unidad;"HERRAMIENTA MANUAL";24234;8360,000000;13445,000000;19.00;16000;13445,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7506240623151
Producto;Si;No;Si;"PINZAS PARA TIERRA 300 A TRUPER";;1835;Unidad;"HERRAMIENTA MANUAL";14234;15200,000000;23950,000000;19.00;28501;23950,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206600283
Producto;Si;No;Si;"PINZAS PARA TIERRA 500 A PRETUL";;1836;Unidad;"HERRAMIENTA MANUAL";24235;11400,000000;17647,000000;19.00;21000;17647,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7506240623168
Producto;Si;No;Si;"PINZAS PARA TIERRA 500 A TRUPER";;1837;Unidad;"HERRAMIENTA MANUAL";14235;17480,000000;27731,000000;19.00;33000;27731,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206600290
Producto;Si;No;Si;"PINZAS PORTA ELECTRODO 300 A PRETUL";;1838;Unidad;"HERRAMIENTA MANUAL";24232;18240,000000;26891,000000;19.00;32000;26891,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7506240621997
Producto;Si;No;Si;"PINZAS PORTA ELECTRODO 300 A TRUPER";;1839;Unidad;"HERRAMIENTA MANUAL";14232;34200,000000;51261,000000;19.00;61001;51261,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206600269
Producto;Si;No;Si;"PINZAS PORTA ELECTRODO 500 A PRETUL";;1840;Unidad;"HERRAMIENTA MANUAL";24233;21280,000000;31513,000000;19.00;37500;31513,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7506240622000
Producto;Si;No;Si;"PINZAS PORTA ELECTRODO 500 A TRUPER";;1841;Unidad;"HERRAMIENTA MANUAL";14233;49400,000000;72269,000000;19.00;86000;72269,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;7501206600276
Producto;Si;No;Si;"PIPA GAS NATURAL MANGUERA LIVIANA";;1842;Unidad;"PARTES Y REPUESTOS";;1000,000000;1681,000000;19.00;2000;1681,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305836
Producto;Si;No;Si;"PIPA GAS NATURAL MANGUERA PESADA";;1843;Unidad;"PARTES Y REPUESTOS";;1700,000000;2521,000000;19.00;3000;2521,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305837
Producto;Si;No;Si;"PIPA GAS PROPANO ROSCA";;1844;Unidad;"PARTES Y REPUESTOS";;1700,000000;2521,000000;19.00;3000;2521,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305838
Producto;Si;No;Si;"PIRLAN ALUMINIO CROMADO 1MT";;1845;Unidad;"PERFILES Y WINES";0.5;5500,000000;7563,000000;19.00;9000;7563,000000;;413505;Ventas;143505;Inventarios;613505;"Costos del inventario";;;9101020305839
