Nombre;CategorÃ­a;Definicion;Caracteristicas
"ADAPTADOR MACHO DE COBRE 1/2""";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PF UAD 1/2"" PAVCO";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PVC 1""";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PVC 11/2""";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PVC 11/4""";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PVC 2""";TUBERIAS Y ACCESORIOS;;
"ADAPTADOR MACHO PVC 3/4""";TUBERIAS Y ACCESORIOS;;
ADAPTADOR RACHET 1/2 X 3/8;HERRAMIENTA MANUAL;;
"ADAPTADOR RATCHET M 1/2"" X 3/4""";HERRAMIENTA MANUAL;;
"ADAPTADOR RATCHET M 1/2"" X 3/8""";HERRAMIENTA MANUAL;;
ADAPTADOR SIFON BLANCO PLASGRIFOS;TUBERIAS Y ACCESORIOS;;
AEROSOL WD 40 104 ML 3O ONZ;LUBRICANTES;;
AEROSOL WD 40 191 ML 5.5 ONZ;LUBRICANTES;;
AGITADOR DE PINTURA AZUL GOYA;PINTURAS Y DISOLVENTES;;
AGUASTOP PLASTICO RIOPLAST;GRIFERIA;;
AGUASTOP VULCANIZADO ECO;PEGANTES;;
AGUASTOP VULCANIZADO RIOPLAST;GRIFERIA;;
AGUJA CAPOTERA;ABRASIVOS Y CONSUMIBLES;;
AGUJA DE COSER A MANO PAÃ¯Â¿Â½O;PARTES Y REPUESTOS;;
AGUJA DE COSER A MANO UN;PARTES Y REPUESTOS;;
AGUJA PARA INFLAR BALON;PARTES Y REPUESTOS;;
ALAMBRE N 10 COLORES 1MT PROCABLES;CONSTRUCCION;;
ALAMBRE N 12 COLORES 1MT PROCABLES;ELECTRICOS;;
ALAMBRE N 12 DE COBRE DESNUDO;ELECTRICOS;;
ALAMBRE N 14 COLORES 1MT PROCABLES;ELECTRICOS;;
ALAMBRE N 14 DE COBRE DESNUDO 1MT;ELECTRICOS;;
ALAMBRE GALVANIZADO C-14 CHIPA 5V;CONSTRUCCION;;
ALAMBRE GALVANIZADO C-14 KILO;CONSTRUCCION;;
ALAMBRE GALVANIZADO C-18 CHIPA 8V;CONSTRUCCION;;
ALAMBRE GALVANIZADO C-18 KILO;CONSTRUCCION;;
ALAMBRE NEGRO C-18 CHIPA 8V;CONSTRUCCION;;
ALAMBRE NEGRO C-18 KILO;CONSTRUCCION;;
ALCOHOL ANTISEPTICO (ETANOL 70%) 375ML 1/2B;HOGAR Y COCINA;;
ALCOHOL ANTISEPTICO (ETANOL 70%) 750ML 1B;HOGAR Y COCINA;;
ALCOHOL INDUSTRIAL (METANOL 80%) 750ML 1B;PINTURAS Y DISOLVENTES;;
ALDABA PEQUEÃ¯Â¿Â½A;TORNILLERIA;;
"ALICATE CORTA FRIO MANGO PVC 6"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE ELECTRICISTA MANGO PVC 8"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE MINIATURA CORTA FRIO 4"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE MINIATURA PUNTA AGUJA 5""  PRETUL";HERRAMIENTA MANUAL;;
"ALICATE MINIATURA PUNTA LARGA 5"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE MINIATURA PUNTA REDONDA 5"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE MINIATURA TIPO TENAZA 4"" PRETUL";HERRAMIENTA MANUAL;;
"ALICATE PELACABLE 9"" PRETUL";HERRAMIENTA MANUAL;;
ALICATE PUNTA 90Ã¯Â¿Â½ PARA CERRAR ANILLOS TUPER;HERRAMIENTA MANUAL;;
"ALICATE PUNTA LARGA 6"" MANGO PVC PRETUL";HERRAMIENTA MANUAL;;
