Nombre;CategorÃ­a;Definicion;Caracteristicas
RATCHET LIBERACION RAPIDA 1/2 PRETUL;HERRAMIENTA MANUAL;;
"RATCHET TRIPLE MANDO 1/4""- 3/8""- 1/2"" TRUPER";HERRAMIENTA MANUAL;"""Marca -GENERICA, Modelo 18126, Tipo de llave Allen, Acabado de la llave Brillante, Medidas del cabezal 1/2"""" - 3/8"""" - 1/4"""", Tamaño de la llave 25.5 CM DE LARGO, Tipo de cabezal Ajustable, Materiales CROMO VANADIUM CON MANGO ENCAUCHETADO, Con mango antideslizante Sí, Con diseño ergonómico Sí """;"""MANGO RATCHET 3 CUADRANTES ( 1/2'' ) ( 3/8'' ) ( 1/4'' ).ESTA HERRAMIENTA NOS BRINDA LA POSIBILIDAD DE TRABAJAR COPAS CON LOS 3 CUADRANTES MÁS COMUNES.- ES IDÓNEA PARA TRABAJOS AUTOMOTRICES.- ESTA FABRICADO EN CROMO VANADIUM DE ALTA RESISTENCIA- POSEE AGARRE ENCAUCHETADO PARA MAYOR COMODIDAD.- LARGO DEL RATCHET : 10"""" ( 25.5CM )."
REFLECTOR LED 10W KALLEY;ELECTRICOS;;
REFLECTOR LED 30W KALLEY;ELECTRICOS;;
"DUCHA REGADERA CUADRADA 8"" ACERO INOXIDABLE SATINADA";GRIFERIA;;
"DUCHA REGADERA REDONDA 6"" EN ACERO INOX";GRIFERIA;;
"DUCHA REGADERA REDONDA ABS CROMO 8"" BOCHERINI";GRIFERIA;;
"DUCHA REGADERA REDONDA ACERO INOX 4"" BOCHERINI";GRIFERIA;;
"DUCHA REGADERA REDONDA ACERO INOX 8"" BOCHERINI";GRIFERIA;;
VALVULA BOLA 1/2  VERONI;TUBERIAS Y ACCESORIOS;;
VALVULA BOLA 1/4 VERONI;GRIFERIA;;
VALVULA BOLA LATON 3/4 PN 40 VERONI;TUBERIAS Y ACCESORIOS;;
VALVULA BOLA 3/8 VERONI;TUBERIAS Y ACCESORIOS;;
REGISTRO DUCHA BRIZA GRIVAL;GRIFERIA;;
REGISTRO DUCHA GELF-PESADO UDUKE;GRIFERIA;;
REGISTRO DUCHA PLUS GERFOR;GRIFERIA;;
REGISTRO DUCHA POMA CROMADA ARTESA GRIVAL;GRIFERIA;;
VALVULA GAS GRINACA;GRIFERIA;;
VALVULA GAS PESADO CROMADO KAUDAL;GRIFERIA;;
VALVULA GAS T/P BRONCE;TUBERIAS Y ACCESORIOS;;
REGLETA CALIBRADOR DE TUERCAS Y TORNILLOS 22CM TRUPER;HERRAMIENTA MANUAL;Marca Truper, Modelo REGLA-22, Tipo de calibrador Mecánico, Material Plástico, Tipos de mediciones Std y mm de diámetros, Cuerda y longitud, Con botón de ajuste a cero No, Con apagado automático No, Con USB No, Incluye estuche No ;Lo que tienes que saber de este producto, De plástico.Tipo de mediciones: std y mm de diámetros., De plástico.Tipo de mediciones: std y mm de diámetros.
REGLETA N 30 CADA 4 TORNILLOS;ELECTRICOS;;
REGLETA N 40 CADA 4 TORNILLOS;ELECTRICOS;;
REGULADOR PARA GAS TAIWANES;TUBERIAS Y ACCESORIOS;;
"REJILLA REPUESTO ALUMINIO 11/2""";GRIFERIA;;
"REJILLA REPUESTO ALUMINIO 2""";GRIFERIA;;
"REJILLA REPUESTO ALUMINIO 3""";GRIFERIA;;
"REJILLA REPUESTO ALUMINIO 4""";GRIFERIA;;
"REJILLA REPUESTO PVC 11/2""";GRIFERIA;;
"REJILLA REPUESTO PVC 2""";GRIFERIA;;
"REJILLA REPUESTO PVC 3""";GRIFERIA;;
"REJILLA REPUESTO PVC 4""";GRIFERIA;;
"REJILLA REPUESTO PVC 5""";GRIFERIA;;
REJILLA SIFON PVC 3X11/2;GRIFERIA;;
REJILLA SIFON PVC 3X2;GRIFERIA;;
REJILLA SIFON PVC 4X3;GRIFERIA;;
REJILLA SOSCO ALUMINIO 3X11/2;GRIFERIA;;
REJILLA SOSCO ALUMINIO 3X2;GRIFERIA;;
REJILLA SOSCO ALUMINIO 4X3;GRIFERIA;;
REJILLA SOSCO PVC 3X11/2 RIOPLAST;GRIFERIA;;
REJILLA SOSCO PVC 3X2 RIOPLAST;GRIFERIA;;
REJILLA SOSCO PVC 4X3 RIOPLAST;GRIFERIA;;
REJILLA VENTILACION 15X15;GRIFERIA;;
REJILLA VENTILACION 20X20;GRIFERIA;;
REJILLA VENTILACION PERCIANA 15X15 RIOPLAST GAS;GRIFERIA;;
REJILLA VENTILACION PERCIANA 20X20 RIOPLAST GAS;GRIFERIA;;
"REMACHADORA 10"" PRETUL";HERRAMIENTA MANUAL;;
REMACHADORA 3 BOCAS STANLEY;HERRAMIENTA MANUAL;;
REMACHADORA DE FUELLE TRUPER;HERRAMIENTA MANUAL;;
REMACHE MEJICANO 6 - 12 U;TORNILLERIA;;
REMACHE MEJICANO 6 - 14 U;TORNILLERIA;;
REMACHE MEJICANO 6 - 10 U;TORNILLERIA;;
REMACHE MEJICANO 6 - 8 U;TORNILLERIA;;
REMACHE POP 4-10 1/8 X 5/8 50;TORNILLERIA;;
REMACHE POP 4-10 1/8 X 5/8 500 U CAJA;TORNILLERIA;;
REMACHE POP 4-10 1/8 X 5/8 DOC;TORNILLERIA;;
REMACHE POP 4-10 1/8 X 5/8 UN;TORNILLERIA;;
REMACHE POP 4-2 1/8 X 1/4 50;TORNILLERIA;;
REMACHE POP 4-2 1/8 X 1/4 500U CAJA;TORNILLERIA;;
REMACHE POP 4-2 1/8 X 1/4 DOC;TORNILLERIA;;
REMACHE POP 4-2 1/8 X 1/4 UN;TORNILLERIA;;
REMACHE POP 4-4 1/8 X 3/8 50;TORNILLERIA;;
REMACHE POP 4-4 1/8 X 3/8 500U CAJA;TORNILLERIA;;
REMACHE POP 4-4 1/8 X 3/8 DOC;TORNILLERIA;;
REMACHE POP 4-4 1/8 X 3/8 UN;TORNILLERIA;;
REMACHE POP 4-6 1/8 X 1/2 50;TORNILLERIA;;
REMACHE POP 4-6 1/8 X 1/2 500U CAJA;TORNILLERIA;;
REMACHE POP 4-6 1/8 X 1/2 DOC;TORNILLERIA;;
REMACHE POP 4-6 1/8 X 1/2 UN;TORNILLERIA;;
REMACHE POP 4-8 1/8 X 5/8 50;TORNILLERIA;;
REMACHE POP 4-8 1/8 X 5/8 500U CAJA;TORNILLERIA;;
REMACHE POP 4-8 1/8 X 5/8 DOC;TORNILLERIA;;
REMACHE POP 4-8 1/8 X 5/8 UN;TORNILLERIA;;
REMACHE POP 5-10 5/32 X 3/4 50;TORNILLERIA;;
REMACHE POP 5-10 5/32 X 3/4 500U CAJA;TORNILLERIA;;
REMACHE POP 5-10 5/32 X 3/4 DOC;TORNILLERIA;;
REMACHE POP 5-10 5/32 X 3/4 UN;TORNILLERIA;;
REMACHE POP 5-2 5/32 X 1/4 50;TORNILLERIA;;
REMACHE POP 5-2 5/32 X 1/4 500U CAJA;TORNILLERIA;;
REMACHE POP 5-2 5/32 X 1/4 DOC;TORNILLERIA;;
REMACHE POP 5-2 5/32 X 1/4 UN;TORNILLERIA;;
REMACHE POP 5-4 5/32 X 3/8 50;TORNILLERIA;;
REMACHE POP 5-4 5/32 X 3/8 CAJA;TORNILLERIA;;
REMACHE POP 5-4 5/32 X 3/8 DOC;TORNILLERIA;;
REMACHE POP 5-4 5/32 X 3/8 UN;TORNILLERIA;;
REMACHE POP 5-6 5/32 X 1/2 50;TORNILLERIA;;
REMACHE POP 5-6 5/32 X 1/2 500U CAJA;TORNILLERIA;;
REMACHE POP 5-6 5/32 X 1/2 DOC;TORNILLERIA;;
REMACHE POP 5-6 5/32 X 1/2 UN;TORNILLERIA;;
REMACHE POP 5-8 5/32 X 5/8 50;TORNILLERIA;;
REMACHE POP 5-8 5/32 X 5/8 CAJA;TORNILLERIA;;
REMACHE POP 5-8 5/32 X 5/8 DOC;TORNILLERIA;;
REMACHE POP 5-8 5/32 X 5/8 UN;TORNILLERIA;;
REMACHE POP 6-10 3/16 X 3/4 50;TORNILLERIA;;
REMACHE POP 6-10 3/16 X 3/4 250U CAJA;TORNILLERIA;;
REMACHE POP 6-10 3/16 X 3/4 DOC;TORNILLERIA;;
REMACHE POP 6-10 3/16 X 3/4 UN;TORNILLERIA;;
REMACHE POP 6-12 3/16 X 1 50;TORNILLERIA;;
REMACHE POP 6-12 3/16 X 1 250U CAJA;TORNILLERIA;;
REMACHE POP 6-12 3/16 X 1 DOC;TORNILLERIA;;
REMACHE POP 6-12 3/16 X 1 UN;TORNILLERIA;;
REMACHE POP 6-14 3/16 X 11/16 50;TORNILLERIA;;
REMACHE POP 6-14 3/16 X 11/16 250U CAJA;TORNILLERIA;;
REMACHE POP 6-14 3/16 X 11/16 DOC;TORNILLERIA;;
REMACHE POP 6-14 3/16 X 11/16 UN;TORNILLERIA;;
REMACHE POP 6-2 3/16 X 1/4 50;TORNILLERIA;;
REMACHE POP 6-2 3/16 X 1/4 250U CAJA;TORNILLERIA;;
REMACHE POP 6-2 3/16 X 1/4 DOC;TORNILLERIA;;
REMACHE POP 6-2 3/16 X 1/4 UN;TORNILLERIA;;
REMACHE POP 6-4 3/16 X 3/8 50;TORNILLERIA;;
REMACHE POP 6-4 3/16 X 3/8 CAJA;TORNILLERIA;;
REMACHE POP 6-4 3/16 X 3/8 DOC;TORNILLERIA;;
REMACHE POP 6-4 3/16 X 3/8 UN;TORNILLERIA;;
REMACHE POP 6-6 3/16 X 1/2 50;TORNILLERIA;;
REMACHE POP 6-6 3/16 X 1/2 DOC;TORNILLERIA;;
REMACHE POP 6-6 3/16 X 1/2 UN;TORNILLERIA;;
REMACHE POP 6-8 3/16 X 5/8 50;TORNILLERIA;;
REMACHE POP 6-8 3/16 X 5/8 CAJA;TORNILLERIA;;
REMACHE POP 6-8 3/16 X 5/8 DOC;TORNILLERIA;;
REMACHE POP 6-8 3/16 X 5/8 UN;TORNILLERIA;;
REMOVEDOR DE PINTURA 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA INCOLORO 1020 1 GALON PINTUCO;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA INCOLORO 1020 1/2 G PINTUCO;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA INCOLORO 1020 1/32 G PINTUCO;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA INCOLORO 1020 1/4 G PINTUCO;PINTURAS Y DISOLVENTES;;
REMOVEDOR DE PINTURA INCOLORO 1020 1/8 G PINTUCO;PINTURAS Y DISOLVENTES;;
REPUESTO MANIJA CRUCETA LLAVE;GRIFERIA;;
REPUESTO PARA CARETA FACIAL PF-500 TRUPER;DOTACION INDUSTRIAL;;
REPUESTO ROSCA ADAPTADOR PVC DUCHA;GRIFERIA;;
RESISTENCIA DUCHA FUSION 120V BOCHERINI;GRIFERIA;;
RESISTENCIA VICTORY 120 BOCHERINI;GRIFERIA;;
TAPABOCAS RESPIRADOR PARTICULANTE 3M 9502 + N95;DOTACION INDUSTRIAL;;
RESPUESTO PARA RASPADOR DE PINTURA;PERFILES Y WINES;;
REVERBERO;HOGAR Y COCINA;;
"RIEL EXTENSION 12""  3OCM U FORTE";HERRAJES Y SOPORTES;;
"RODACHINA GIRATORIA PLATAFORMA 1"" LIVIANA";HERRAJES Y SOPORTES;;
RODACHINA PISO RPL 30 NYLON;HERRAJES Y SOPORTES;;
RODACHINA PISO RPL 10 METALICA;HERRAJES Y SOPORTES;;
"RODILLO ESPUMA 9"" DEKO GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO FELPA OVEJERO 3"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO FELPA OVEJERO 9"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO FELPA POLILANA 9"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO HILO BRICOLAGE 3"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO HILO BRICOLAGE 6"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO HILO POLIMAX 9"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO INDUSTRIAL JR 9""";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 1 1/2"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO JUNIOR POLIESTER TH 6"" GOYA";PINTURAS Y DISOLVENTES;;
"RODILLO PITUFO VERDE 3"" JR";PINTURAS Y DISOLVENTES;;
ROSETA CANDELABRO;ELECTRICOS;;
ROSETA ESCOLAR;ELECTRICOS;;
ROSETA LINTERNA;ELECTRICOS;;
ROSETA LOZA;ELECTRICOS;;
ROSETA NUOVA AVE 150W;ELECTRICOS;;
ROSETA PLASTICA MERCURY;ELECTRICOS;;
ROSETA PORTALAMPARA CUATRO PUNTAS LOZA;TUBERIAS Y ACCESORIOS;;
ROSETA PORTALAMPARA DOS PIEZAS PLASTICA;ELECTRICOS;;
RUBBING BLANCO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
RUBBING BLANCO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
RUBBING BLANCO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
RUBBING BLANCO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
RUBBING COMPOUND SIMONIZ 200 GR;LUBRICANTES;;
RUBBING ROJO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
RUBBING ROJO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
RUBBING ROJO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
RUBBING ROJO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
"RUEDA FLAP 1"" GRANO 80 TRUPER";HERRAMIENTA MANUAL;;
"RUEDA FLAP 2"" GRANO 80 TRUPER";HERRAMIENTA MANUAL;Marca Truper ;RUEDA FLAP 2'' GRANO 80Código: 13037Especificaciones:Diámetro: 2'' (50 mm)Empaque: BlisterGrano: 80Grosor y Vástago: 1'' (25.4 mm) x 1/4'' (6.3 mm)Peso: 52.8 gRevoluciones máximas por minuto: 23,000 rpmZanco: 1/4''Características:Con vástago.Fabricado en óxido de aluminio.Gran flexibilidad.Usos:Aplicación: plástico, madera, fundición, lacas, pintura, metal ferroso y no ferroso. Ideales para lugares de difícil acceso. Para esmeril recto.
"RUEDA FLAP 3"" GRANO 80 TRUPER";HERRAMIENTA MANUAL;Marca Truper ;RUEDA FLAP 3'' GRANO 80Código: 13042 Especificaciones: Diámetro: 3'' (76 mm)Empaque: BlisterGrano: 80Grosor y Vástago: 1'' (25.4 mm) x 1/4'' (6.3 mm)Peso: 92.8 gRevoluciones máximas por minuto: 20,000 rpmZanco: 1/4''Características:Con vástago.Fabricado en óxido de aluminio.Gran flexibilidad.Usos:Aplicación: plástico, madera, fundición, lacas, pintura, metal ferroso y no ferroso.Ideales para lugares de difícil acceso. Para esmeril recto.
ESPONJA SABRA VERDE;HOGAR Y COCINA;;
SEGUETA #18 NICHOLSON;HERRAMIENTA MANUAL;;
SEGUETA #24 NICHOLSON;HERRAMIENTA MANUAL;;
SEGUETA BIMETALICA 18 DPP TRUPER;HERRAMIENTA MANUAL;Marca Truper, Modelo 18100, Herramientas compatibles Seguetas ;"""Segueta Bimetálica De 12"""", 18 Dpp Marca: Truper Código: 18100 CARACTERÍSTICAS ¤ Cuerpo flexible fabricado en acero para resorte que reduce el riesgo de rupturas. ¤ Dientes fabricados en acero M2 con trisque ondulado. ¤ Sometidas a tratamiento térmico que proporciona la dureza y resistencia exactas para cortes precisos además de gran durabilidad. ¤ Largo: 12"""" (305 mm). ¤ Dientes por pulgada: 18. PRINCIPALES USOS ¤ Herrería, albañilería, plomería, carpintería, mecánica, etcétera. ¤ Para cortes rápidos y gruesos. DIMENSIONES DEL PRODUCTO 31 cm x 0.1 cm x 1.3 cm FACTURA ELECTRÓNICA Todos nuestros productos ofertados son con IVA incluido, por lo que podrás solicitar tu factura electrónica después de que realices la compra."""
SEGUETA CALADORA EN U UNIDAD TRUPER;HERRAMIENTA MANUAL;;
SEGUETA CALADORAS EN T UNIDAD TRUPER;HERRAMIENTA MANUAL;Marca Truper, Modelo Zanco T ;JUEGO SEGUETAS CALADORA 16 PZ ZANCO ''T''Código: 16705Especificaciones:Empaque: BlisterZanco: Tipo ''T''Incluye:1 Segueta de 79mm para corcho, vinil, etcétera / Corte tipo cuchilla1 Segueta de 92mm, 8 dpp para pared de yeso/ Corte rápido1 Segueta para madera de 70mm, 12 dpp / Corte fino y curvo2 Seguetas para madera de 92mm, 10 dpp / Corte fino2 Seguetas para metales no ferrosos de 70mm, 14 dpp / Corte rápido3 Seguetas multiusos de 79mm, 10 dpp / Corte semi-uniforme3 Seguetas para madera de 70mm, 6dpp / corte rápido3 Seguetas para metales no ferrosos de 70mm, 21 dpp / corte suaveCaracterísticas:Fáciles de cambiar y altamente resistentesSeguetas para madera fabricadas en acero al cromo vanadioSeguetas para metales fabricadas en acero alta velocidadUsos:Para cortar metal, madera y otros materiales
SEGUETA ECONOMICA AZUL;PEGANTES;;
SEGUETA ECONOMICA NARANJA;HERRAMIENTA MANUAL;;
SELLADOR DE POLIURETANO GRIS 300ML AFIX;PEGANTES;;
SILICONA EN TUBO TRANPARENTE ANTIHONGO 280 ML SISTA;PEGANTES;;
SELLADOR NITRO EXPERTO 1 GALON SUPER;PINTURAS Y DISOLVENTES;;
SELLADOR NITRO EXPERTO 1/2 G SUPER;PINTURAS Y DISOLVENTES;;
SELLADOR NITRO EXPERTO 1/32 G SUPER;PINTURAS Y DISOLVENTES;;
SELLADOR NITRO EXPERTO 1/4 G SUPER;PINTURAS Y DISOLVENTES;;
SELLADOR NITRO EXPERTO 1/8 G SUPER;PINTURAS Y DISOLVENTES;;
SELLADOR TRANSPARENTE 85 GR TRUPER;PEGANTES;;
AGUASTOP SELLO LENGUETA ADVANCED BCA GRIVAL;GRIFERIA;;
AGUASTOP' SELLO LENGUETA CORRIENTE GRIVAL;GRIFERIA;;
SEMICODO CPVC 1/2;TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 1""";TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 1/2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 11/2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 11/4""";TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO PRESION 45Ã¯Â¿Â½ 3/4""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXC 11/2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXC 2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXC 3""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXC 4""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXE 11/2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXE 2""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXE 3""";TUBERIAS Y ACCESORIOS;;
"SEMICODO SANITARIO CXE 4""";TUBERIAS Y ACCESORIOS;;
"SERRUCHO 16"" PRETUL";HERRAMIENTA MANUAL;;
"SERRUCHO 20"" PRETUL";HERRAMIENTA MANUAL;;
SERRUCHO PARA CUADRO;HERRAJES Y SOPORTES;;
"SERRUCHO PARA DRYWALL 6"" PRETUL";HERRAMIENTA MANUAL;;
"SERRUCHO TIPO MARQUETERO 10"" TRUPER";HERRAMIENTA MANUAL;"""Marca Truper, Modelo 10pg, Tipo de serrucho Marquetero, Materiales de aplicación Madera, Material de la manija Madera, Material de la hoja Acero, Largo del serrucho 10 """", Dientes por pulgada 0 """;SERRUCHO DIAMANTE DE COSTILLA 10''Código: 18164Especificaciones:Dientes por pulgada: 9Dureza de hoja: 50 HRcEmpaque: GranelLongitud de hoja: 10'' (254mm)Longitud total: 11 5/8'' (294mm)Peso: 298 gCaracterísticas:Barreno en el extremo de la hoja para colgar en el organizadorDientes con ángulo de 60°, afilables y con protector plástico para su almacenaje y transportaciónHoja fabricada de acero alto carbono SAE1050 con costilla de acero en forma de cañuela que la mantiene recta y firmeMango de madera suave firmemente encabado con resina epóxica y casquillo de refuerzoUsos:Carpintería fina, ebanistería, marquetería, etcétera 
JUEGO SET DE HERRAMIENTAS 51 PIEZAS PRETUL;HERRAMIENTA MANUAL;;
SET DUCHA PLASTICA ABS BOCHERINI;GRIFERIA;;
JUEGO DE 12 HERRAMIENTAS KALLEY;HERRAMIENTA MANUAL;;
JUEGO DE 17 HERRAMIENTAS KALLEY;HERRAMIENTA MANUAL;;
JUEGO DE 21 HERRAMIENTAS KALLEY;HERRAMIENTA MANUAL;;
SHAMPOO CON CERA SIMONIZ 600ML;LUBRICANTES;;
SIERRA CALADORA PRETUL;HERRAMIENTA MANUAL;;
"SIERRA COPA BIMETALICA 1 1/2"" MANDRIL 7/16 TRUPER";ABRASIVOS Y CONSUMIBLES;;
"SIERRA COPA BIMETALICA 1"" MANDRIL 3/8 TRUPER";ABRASIVOS Y CONSUMIBLES;;
"SIFA SANITARIO 11/2"" TIGRE";TUBERIAS Y ACCESORIOS;;
"SIFA SANITARIO 2""";TUBERIAS Y ACCESORIOS;;
"SIFA SANITARIO 2"" TIGRE";TUBERIAS Y ACCESORIOS;;
"SIFA SANITARIO 3""";TUBERIAS Y ACCESORIOS;;
"SIFA SANITARIO 4""";TUBERIAS Y ACCESORIOS;;
SIFON 1 SALIDA BOCCHERINI LINEA ECO;GRIFERIA;;
SIFON FLEXIBLE 1 SALIDA PESADO BOCHERINI;GRIFERIA;;
SIFON FLEXIBLE 2 SALIDAS PESADO BOCCHERINI;GRIFERIA;;
SIFON BOTELLA GRIVAL;GRIFERIA;;
SIFON EN P GRIVAL;GRIFERIA;;
SIFON EN P LAVAPLATOS PLAST GRIFOS;GRIFERIA;;
SIFON FLEXIBLE CROMADO;GRIFERIA;;
SIFON FLEXIBLE GRIVAL;GRIFERIA;;
SIFON LAVAMANOS DE LUJO RIOPLAST;GRIFERIA;;
SIFON LAVAMANOS PLASTGRIFOS;GRIFERIA;;
SIKA 1 ADITIVO IMPERMEABILIZANTE 1 K;CONSTRUCCION;;
SIKA MORTERO IMPERMEABLE BLANCO 2k;CONSTRUCCION;;
SIKA MORTERO IMPERMEABLE GRIS 2K;CONSTRUCCION;;
SIKA MULTISEAL 10 CM X 10MT ALUMINIO;CONSTRUCCION;;
SIKA MULTISEAL 10 CM X 1MT ALUMINIO;CONSTRUCCION;;
SIKA SANISIL TRANSPARENTE CARTUCHO 300 ML;PEGANTES;;
SIKAFLEX 1A BLANCO PLUS ICURE X 300;PEGANTES;;
SIKAFLEX 1A GRIS PLUS ICURE X 300;PEGANTES;;
SIKAFLEX 1A NEGRO PLUS ICURE X 300;PEGANTES;;
SIKAFLEX 221 BLANCO X 300ML;PEGANTES;;
SIKAFLEX 221 NEGRO X 300ML;PEGANTES;;
SIKAFLEX CONSTRUCCION BLANCO 300 ML;PEGANTES;;
SIKAFLEX UNIVERSAL BLANCO X300 ML;PEGANTES;;
SIKAFLEX UNIVERSAL GRIS X300 ML;PEGANTES;;
SIKASIL UNIVERSAL TRANSPARENTE 280 ML SIKA;PEGANTES;;
SILICONA SUPERFLEX NEGRA 50ML LOCTITE;PEGANTES;;
SILICONA ALTA TEMPERATURA NEGRO 85G TRUPER;PEGANTES;;
SILICONA ALTA TEMPERATURA ROJO 85 G TRUPER;PEGANTES;;
SILICONA BLANCA BAÃ¯Â¿Â½O/COCINA 85 G TRUPER;PEGANTES;;
SILICONA EMULSIONADA 240 CC CRC;LUBRICANTES;;
SILICONA EMULSIONADA 250 ML FORTE;LUBRICANTES;;
SILICONA EMULSIONADA 250 MLGRANEL;ASEO;;
SILICONA EMULSIONADA 500 ML GRANEL;ASEO;;
SILICONA EMULSIONADA GALON GRANEL;ASEO;;
SILICONA EMULSIONADA LITRO GRANEL;ASEO;;
SILICONA EN BARRA DELGADA;PEGANTES;;
SILICONA EN BARRA GRUESA;PEGANTES;;
SILICONA EN TUBO BLANCA X 300ML;PEGANTES;;
SILICONA EN TUBO NEGRA X 300ML;PEGANTES;;
SILICONA EN TUBO TRANSPARENTE X300 ML KAUDAL;PEGANTES;;
SILICONA GRIS AUTOMOTRIZ ALTA TÃ¯Â¿Â½ 70 ML LOCTITE;PEGANTES;;
SILICONA GRIS AUTOMOTRIZ ALTA TÃ¯Â¿Â½ 50 ML SINTESOLDA;PEGANTES;;
SILICONA GRIS AUTOMOTRIZ ALTA TÃ¯Â¿Â½ 50ML UDUKE;PINTURAS Y DISOLVENTES;;
SILICONA HEAVY DUTY CRC 235 ML;LUBRICANTES;;
SILICONA LIQUIDA MULTIUSO TESA 250ML;PEGANTES;;
SILICONA LIQUIDA MULTIUSO TESA 30ML;PEGANTES;;
SILICONA LIQUIDA MULTIUSO TESA 60ML;PEGANTES;;
SILICONA MULTIPROPOSITO 250 ML TESA;PEGANTES;;
SILICONA MULTIPROPOSITO 30 ML TESA;PEGANTES;;
SILICONA MULTIPROPOSITO 60 ML TESA;PEGANTES;;
SILICONA TRANSPARENTE 28 G SINTECO;PEGANTES;;
SILICONA TRANSPARENTE 50 ML SISTA HENKEL;PEGANTES;;
SILICONA TRANSPARENTE BAÃ¯Â¿Â½O/COCINA 280 ML TRUPER;PEGANTES;;
SILICONA TRANSPARENTE BAÃ¯Â¿Â½O/COCINA 85 G TRUPER;PEGANTES;;
SILICONA ULTRA RAPIDA SPRAY AROMAS;LUBRICANTES;;
SINTESOLDA 10 MINUTOS;PEGANTES;;
SINTESOLDA 24 HORAS;PEGANTES;;
PORTALAMPARA SOCKET GU 10 HALOGENO;ELECTRICOS;;
SOGA CLASICA 8MM POLIPROPILENO 1MT;SOGAS Y CADENAS;;
SOGA MARINA AZUL 10MM;SOGAS Y CADENAS;;
SOGA TODO TERRENO 13MM X 1MT (200MT);SOGAS Y CADENAS;;
SOKET BI PIN HALOGENO;ELECTRICOS;;
SOLDADUA PVC TANGIT SANITARIO 125ML;PEGANTES;;
SOLDADURA 1/2-1/2 TUBERIA BAJA PRES MT;ELECTRICOS;;
SOLDADURA 1/2-1/2 TUBERIA BAJA PRES ROLLO;ELECTRICOS;;
SOLDADURA 6013 1/8 1 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 1/8 1 V WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 1/8 5 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 3/32 1 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 3/32 1 V WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 3/32 1/2 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA 6013 3/32 5K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA ALUMINIO 1/8 1 K 72V  WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA ALUMINIO 1/8 1 V  WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
SOLDADURA CPVC 28 GR 1/128 GAL PAVCO;PEGANTES;;
