Nombre;Referencia;Categoría;Descripción;Marca
JUEGO DE 3 PIEZAS SIERRAS PARA CERRADURA TRUPER;1351;HERRAMIENTA MANUAL;18080;TRUPER 18080
JUEGO DE 6 DESTORNILLADORES JOYERO CLASICOS TRUPER;1353;HERRAMIENTA MANUAL;21382;TRUPER 21382
JUEGO DE 7 LLAVES BRISTOL PULGADAS TIPO NAVAJA TRUPER;1354;HERRAMIENTA MANUAL;15560;TRUPER 15560
JUEGO DE 7 LLAVES BRISTOL ACERO AL CROMO MILIMETRICA TRUPER;3314;HERRAMIENTA MANUAL;15530;TRUPER 15530
JUEGO DE 7 LLAVES BRISTOL ACERO AL CROMO PULGADA TRUPER;3315;HERRAMIENTA MANUAL;15533;TRUPER 15533
JUEGO DE 6 BROCAS PARA MADERA TRUPER;1363;HERRAMIENTA MANUAL;11337;TRUPER 11337
JUEGO DE 8 BROCAS PARA MADERA TRUPER;1894;ABRASIVOS Y CONSUMIBLES;11338;TRUPER 11338
JUEGO DE 7 LLAVES TORX CORTAS CON ORGANIZADOR TRUPER;1367;HERRAMIENTA MANUAL;15552;TRUPER 15552
JUEGO DE 7 LLAVES TORX LARGAS CON ORGANIZADOR TRUPER;1368;HERRAMIENTA MANUAL;15553;TRUPER 15553
JUEGO DE 10 PUNTAS EN PIEDRA MONTADAS TRUPER;1371;HERRAMIENTA MANUAL;12445;TRUPER 12445
JUEGO DE 5 SEGUETAS PARA CALADORA METAL TRUPER;3317;HERRAMIENTA ELECTRICA;18139;TRUPER 18139
"JUEGO DE 16 SEGUETAS PARA CALADORA ""T"" TRUPER";1373;HERRAMIENTA MANUAL;16705;TRUPER 16705
"JUEGO DE 16 SEGUETAS PARA CALADORA ""U"" TRUPER";1375;HERRAMIENTA MANUAL;16129;TRUPER 16129
JUEGO DE 3 CEPILLOS PARA TALADRO TRUPER;3592;HERRAMIENTA ELECTRICA;28152;TRUPER 28152
JUEGO DE 32 DESTORNILLADORES PARA JOYERO TRUPER;3324;HERRAMIENTA MANUAL;14162;TRUPER 14162
LIJADORA ORBITAL 1/4 HOJA 200 W PROFESIONAL TRUPER;1577;HERRAMIENTA ELECTRICA;23999;TRUPER 23999
"LIMA 1/2 CAï¿½A BASTARDA 6"" MANGO TRUPER";1444;HERRAMIENTA MANUAL;15317;TRUPER 15317
LIMA PARA JOYERO UNIDAD TRUPER;1445;HERRAMIENTA MANUAL;15239;TRUPER 15239
"LIMA PLANA BASTARDA 6"" MANGO TRUPER";1446;HERRAMIENTA MANUAL;15309;TRUPER 15309
"LIMA REDONDA BASTARDA 6"" MANGO TRUPER";1447;HERRAMIENTA MANUAL;15315;TRUPER 15315
"LIMA TRIANGULAR PESADA 6"" MANGO TRUPER";1448;HERRAMIENTA MANUAL;15307;TRUPER 15307
LLAVE PARA PLOMERO TRUPER;3337;HERRAMIENTA MANUAL;12874;TRUPER 12874
LUBRICANTE AFLOJATODO 110 ML TRUPER;1530;LUBRICANTES;13468;TRUPER 13468
LUBRICANTE AFLOJATODO 235 ML TRUPER;1531;LUBRICANTES;13469;TRUPER 13469
MACETA OCTOGONAL 4 LB TRUPER;1532;HERRAMIENTA MANUAL;16508;TRUPER 16508
MACETA OCTOGONAL 2 LB TRUPER;1533;HERRAMIENTA MANUAL;16506;TRUPER 16506
MACHOS SEMICONICOS 1/4 TRUPER;1538;HERRAMIENTA MANUAL;11405;TRUPER 11405
MACHOS SEMICONICOS 1/8 TRUPER;1539;HERRAMIENTA MANUAL;11415;TRUPER 11415
MACHOS SEMICONICOS 3/16 TRUPER;1540;HERRAMIENTA MANUAL;11403;TRUPER 11403
